leap.year,weeks,pattern,N,P
FALSE,52,4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13),43,0.1075
FALSE,52,4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13),43,0.1075
FALSE,52,4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13),43,0.1075
FALSE,52,4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13),43,0.1075
FALSE,52,5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13),44,0.11
FALSE,52,5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13),43,0.1075
FALSE,53,5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14),44,0.11
TRUE,52,4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13),15,0.0375
TRUE,52,4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13),13,0.0325
TRUE,52,4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13),15,0.0375
TRUE,52,4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13),13,0.0325
TRUE,52,5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13),14,0.035
TRUE,53,5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14),14,0.035
TRUE,53,5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13),13,0.0325
